created_at,is_retweet,text,tweet_id
Sat Mar 03 20:21:00 +0000 2018,False,.@DHSgov is a law enforcement agency that leverages its investigative and intelligence efforts to combat the opioid… https://t.co/UGw3Rp67Rp,Pre-Update
Thu Mar 01 20:30:46 +0000 2018,True,RT @FLOTUS: Thank you to everyone who attended today’s opioids summit @WhiteHouse. A special thanks to Betty Henderson for having the coura…,Pre-Update
Thu Mar 01 16:06:04 +0000 2018,False,"Today, the White House is hosting an Opioid Summit to discuss the Administration-wide efforts to combat the opioid… https://t.co/6PPpZ4j3WY",Pre-Update
Fri Mar 02 01:03:02 +0000 2018,False,"President Trump is fighting for free, fair, and reciprocal trade. https://t.co/Agl1blrUa4",Pre-Update
Thu Mar 01 04:24:57 +0000 2018,True,"RT @Scavino45: Tonight, President Donald J. Trump and First Lady Melania Trump host a dinner for the late Reverend Billy Graham's Family in…",Pre-Update
Wed Mar 07 00:49:03 +0000 2018,False,Tonight's edition of West Wing Reads: https://t.co/8EXiBzSIuA https://t.co/5di11Yzcqa,Pre-Update
Thu Mar 08 23:24:59 +0000 2018,True,RT @FLOTUS: Wonderful to meet @KyleKashuv today. His message of unity is one we should all share. Thank you for visiting us at the @WhiteHo…,Pre-Update
Thu Mar 08 20:38:24 +0000 2018,False,Watch LIVE at President Trump signs the Section 232 Proclamations on steel and aluminum imports:… https://t.co/ejUT4zCJTr,Pre-Update
Thu Mar 01 00:44:02 +0000 2018,False,Check out tonight’s West Wing Reads: https://t.co/SPlHy4YoyJ https://t.co/UfUba1tiOk,Pre-Update
Sun Mar 04 15:39:03 +0000 2018,False,"President Trump’s Trade Policy Agenda relies on five major pillars to restore free, fair, and reciprocal trade. Rea… https://t.co/8BhjmIpqGF",Pre-Update
Thu Mar 08 19:27:08 +0000 2018,True,RT @realDonaldTrump: Great meeting with @Cabinet at the @WhiteHouse today! #MAGA https://t.co/InWj0QTosz,Pre-Update
Thu Mar 08 22:20:45 +0000 2018,True,"RT @realDonaldTrump: “Presidential Proclamation on Adjusting Imports of Steel into the United States”
 
Proclamation: https://t.co/hxduwSoE…",Pre-Update
Fri Mar 09 22:51:01 +0000 2018,True,"RT @VP: The Trump Administration’s PRO-JOBS, PRO-AMERICA agenda is WORKING! https://t.co/N10J2mSFBd",Pre-Update
Sat Mar 03 15:11:00 +0000 2018,False,"At a bipartisan meeting earlier this week, President Trump detailed four points to ensure school safety. https://t.co/vp6Pexr2J6",Pre-Update
Fri Mar 02 23:06:02 +0000 2018,False,"Free, fair, and reciprocal trade relations are critical to our national security, and form the cornerstone of the P… https://t.co/GZLJntgLnx",Pre-Update
Wed Mar 07 15:45:30 +0000 2018,True,RT @WHOSTP: Today @WHOSTP published a report of @WhiteHouse Science and Technology Highlights from the first year of the Trump Administrati…,Pre-Update
Fri Mar 02 00:21:01 +0000 2018,False,Check out tonight's edition of West Wing Reads: https://t.co/TpHfRHhTCQ https://t.co/zo21OmsEnp,Pre-Update
Thu Mar 08 22:20:49 +0000 2018,True,"RT @realDonaldTrump: “Presidential Proclamation on Adjusting Imports of Aluminum into the United States” 
 
Proclamation: https://t.co/aCaM…",Pre-Update
Mon Mar 05 20:21:06 +0000 2018,False,"""Of the 6.4 million new barrels of oil that will be pumped every day between now and 2023, almost 60% will come fro… https://t.co/SSXziHjP2V",Pre-Update
Thu Mar 01 21:41:00 +0000 2018,False,"Fire Chief Daniel Goonan discussed how Safe Stations in Manchester, NH have assisted those seeking help for substan… https://t.co/qIn3wxr81w",Pre-Update
Thu Mar 08 17:46:06 +0000 2018,False,"Yesterday, President Trump told members of the Latino business community that a shared National vision brings toget… https://t.co/qStZro7xVO",Pre-Update
Thu Mar 01 20:56:00 +0000 2018,False,"During today's Opioid Summit at the White House, Eric Bolling shared the story of his son who died from an accident… https://t.co/CuevNEoN2w",Pre-Update
Wed Feb 28 18:30:48 +0000 2018,True,"RT @ICEgov: WATCH: Acting ICE Director Tom Homan discusses California enforcement activities on @foxandfriends on @FoxNews
https://t.co/Ihu…",Pre-Update
Fri Mar 09 19:36:00 +0000 2018,False,"Not only is President Trump protecting American steel and aluminum industries, but he's also putting the American w… https://t.co/vA7t1zj6fv",Pre-Update
Fri Mar 09 20:46:04 +0000 2018,False,"President Trump’s policies and tax cuts are getting Americans back to work, creating growth, and restoring confiden… https://t.co/US0Si3tZMz",Pre-Update
Tue Feb 27 20:52:01 +0000 2018,False,What you need to know about obstruction of the President’s nominees: https://t.co/7IQsEXCUNQ,Pre-Update
Tue Mar 06 22:44:04 +0000 2018,False,"""All told, we estimate the typical Iowa family of four will see a tax cut of almost $2,500."" Read more from @VP Pen… https://t.co/iZVQGzZsVG",Pre-Update
Sun Mar 04 21:49:34 +0000 2018,True,"RT @PressSec: The United States condemns the ongoing military offensive that the Assad regime, backed by Russia and Iran, is perpetrating a…",Pre-Update
Sat Mar 03 14:41:02 +0000 2018,False,Today we honor our great National Anthem on #NationalAnthemDay. 🇺🇸 https://t.co/DFWdgtI3Or,Pre-Update
Fri Mar 09 15:42:04 +0000 2018,False,President Trump is addressing unfair trade practices in the steel and aluminum industries. Read more about yesterda… https://t.co/py4l2BtYQd,Pre-Update
Sat Mar 03 17:16:02 +0000 2018,False,"The numbers around drug addiction in America are staggering, and the entire Trump Administration has mobilized to a… https://t.co/jCOGczXbZs",Pre-Update
Wed Feb 28 15:59:06 +0000 2018,False,President Trump and the First Lady attend the arrival ceremony in honor of the Reverend Billy Graham:… https://t.co/lFxcTqQQt0,Pre-Update
Fri Mar 09 21:04:02 +0000 2018,False,"For the FIFTH consecutive month, the unemployment rate remained at 4.1%. https://t.co/xbTB6z1B4s",Pre-Update
Fri Mar 02 16:57:03 +0000 2018,False,Yesterday’s summit brought together leaders from across the Administration and experts from throughout the country… https://t.co/gxR7F6MMBf,Pre-Update
Wed Feb 28 21:36:00 +0000 2018,False,"Recent news shows surging small-business and consumer confidence, near record low unemployment claims, and expectat… https://t.co/gNG9Lu2rQg",Pre-Update
Thu Mar 01 21:39:07 +0000 2018,True,"RT @realDonaldTrump: Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to love…",Pre-Update
Mon Mar 05 19:20:55 +0000 2018,True,RT @IsraeliPM: Stronger than ever 🇮🇱🇺🇸 @POTUS https://t.co/zSROdUVcBG,Pre-Update
Fri Mar 09 00:13:01 +0000 2018,False,"Today, as the world recognizes #InternationalWomensDay, Advisor to the President Ivanka Trump joined with @USAID Ad… https://t.co/mUq3kT6KyO",Pre-Update
Fri Mar 02 19:50:34 +0000 2018,True,RT @realDonaldTrump: REST IN PEACE BILLY GRAHAM! https://t.co/2qMoUccVC2,Pre-Update
Fri Mar 02 19:48:03 +0000 2018,False,"President Trump is renegotiating and revising our nation’s trade deals, for the benefit of our shared prosperity. M… https://t.co/8m38YNULVl",Pre-Update
Tue Feb 27 20:40:38 +0000 2018,True,RT @Scavino45: “Trump Comes Through — Saves $1.4 Billion On New Air Force One” https://t.co/cN3TAQywpR,Pre-Update
Fri Mar 02 18:04:06 +0000 2018,False,"$3B in new funding in 2018 and $10B in 2019 for @HHSgov to:
Expand access to prevention, treatment, and recovery su… https://t.co/yN41HYaSZR",Pre-Update
Thu Mar 08 22:17:06 +0000 2018,False,President Trump is addressing global overcapacity and unfair trade practices in the steel and aluminum industries R… https://t.co/vSxqRGrceo,Pre-Update
Thu Mar 01 17:32:07 +0000 2018,False,"Today, the White House will convene a major summit on opioids. A number of senior Administration officials will joi… https://t.co/WT4gcEumRf",Pre-Update
Mon Mar 05 16:13:05 +0000 2018,False,"Today, President Trump and the First Lady will welcome Prime Minister Benjamin Netanyahu and Mrs. Netanyahu of Isra… https://t.co/JHmf2K0kme",Pre-Update
Thu Mar 01 22:22:00 +0000 2018,False,U.S. Surgeon General Jerome Adams shared how his own family has been affected by substance abuse disorder and addic… https://t.co/v2lMul9Gk7,Pre-Update
Tue Feb 27 21:52:00 +0000 2018,False,Senator Harry Reid agrees with President Trump on immigration... https://t.co/Y6sJieNTNH,Pre-Update
Thu Mar 08 00:49:02 +0000 2018,False,Check out tonight's edition of West Wing Reads: https://t.co/HcO8XmeOHf https://t.co/WGs1PFRRLA,Pre-Update
Fri Mar 09 21:21:03 +0000 2018,False,Present Trump's pro-growth policy agenda continues to translate into increased employment opportunities for America… https://t.co/ctb5uKathe,Pre-Update
Thu Mar 01 19:31:13 +0000 2018,False,President Trump’s Administration is fighting back against the opioid crisis through education and prevention. https://t.co/ortzuARGPD,Pre-Update
Thu Mar 08 23:04:01 +0000 2018,False,"""There is a way out for Gaza, if only Hamas has the courage to admit failure and chart a new course."" More from… https://t.co/lF8d6bFIQA",Pre-Update
Sat Mar 10 13:41:51 +0000 2018,True,RT @realDonaldTrump: We are deeply saddened by the tragic situation in Yountville and mourn the loss of three incredible women who cared fo…,Pre-Update
Tue Feb 27 15:56:53 +0000 2018,True,RT @dougducey: Thanks to @POTUS @VP and all @WhiteHouse team &amp; Cabinet Secretaries @SecAzar @SeemaCMS @SecretaryAcosta for small group brea…,Pre-Update
Wed Feb 28 14:34:03 +0000 2018,False,"Immigration and Customs Enforcement officials say Oakland, CA mayor put lives at risk: https://t.co/3w0M6GjeKE",Pre-Update
Tue Mar 06 20:38:16 +0000 2018,False,Tune in now: https://t.co/2Cwoq77hX7 https://t.co/joVSToQkhp,Pre-Update
Fri Mar 09 21:52:04 +0000 2018,False,"Under President Trump’s leadership, manufacturing is booming 📈 https://t.co/KMCX8Wv3fH",Pre-Update
Wed Mar 07 20:40:35 +0000 2018,True,"RT @SecretaryZinke: Big day for @NatlParkService! Thanks to Senators Alexander, King, Daines, Capito, Gardner, Heinrich, Tillis &amp; Manchin f…",Pre-Update
Thu Mar 08 20:13:47 +0000 2018,True,RT @PressSec: #InternationalWomensDay https://t.co/qCLjh60Pxx,Pre-Update
Thu Mar 08 21:13:02 +0000 2018,False,The decline of American steel and aluminum production has resulted in extensive job losses for hardworking American… https://t.co/hrFjAnW2Sj,Pre-Update
Sat Mar 10 00:51:45 +0000 2018,True,"RT @realDonaldTrump: The deal with North Korea is very much in the making and will be, if completed, a very good one for the World. Time an…",Pre-Update
Mon Mar 05 17:31:01 +0000 2018,False,President Trump and the First Lady will host Israeli Prime Minister Netanyahu and Mrs. Netanyahu in Washington toda… https://t.co/KLQvX0Ijuf,Pre-Update
Fri Mar 02 14:54:00 +0000 2018,False,The entire Trump Administration has mobilized to address the opioid crisis: https://t.co/4gK0XeH7c0 https://t.co/EF0P3WAOO1,Pre-Update
Wed Mar 07 21:06:05 +0000 2018,False,The Tax Cuts and Jobs Act builds on the record-breaking economic successes already achieved under President Trump.… https://t.co/oT5JhwQHEB,Pre-Update
Tue Feb 27 17:13:02 +0000 2018,False,President Trump and Vice President  Pence addressed nearly 80% of the Nation’s governors yesterday at a bipartisan… https://t.co/dnzLma452t,Pre-Update
Thu Mar 08 18:47:04 +0000 2018,True,"RT @realDonaldTrump: Happy #InternationalWomensDay

“First Lady Melania Trump to Present the 2018 International Women of Courage Award” htt…",Pre-Update
Thu Mar 08 20:34:05 +0000 2018,False,President Trump is protecting American national security from the effects of unfair trade practices by protecting o… https://t.co/gXti1LJKrC,Pre-Update
Wed Feb 28 17:11:42 +0000 2018,True,"RT @realDonaldTrump: Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of the…",Pre-Update
Thu Mar 01 16:56:06 +0000 2018,False,How we will win the war on opioids: https://t.co/4gK0XeYIAA https://t.co/L2wnasmE2u,Pre-Update
Tue Mar 06 20:24:03 +0000 2018,False,Unaccompanied alien children and family units are flooding the border because of catch and release loopholes. This… https://t.co/MCChDWOQIx,Pre-Update
Fri Mar 09 18:03:37 +0000 2018,True,RT @Scavino45: “This Year Marks the Strongest Average Monthly Job Growth in Over Two Decades” https://t.co/czlv49gLL8,Pre-Update
Wed Mar 07 19:53:00 +0000 2018,False,Fire Chief Daniel Goonan and others are saving lives. More on how we will win the war on opioids:… https://t.co/1a6ra86erO,Pre-Update
Thu Mar 08 15:36:03 +0000 2018,False,"Happy #InternationalWomensDay! Today we recognize, honor, and celebrate women around the world. https://t.co/gsONDiXYO5",Pre-Update
Thu Mar 08 23:55:59 +0000 2018,True,RT @FLOTUS: Heartened to see children affected by tragedy using their voices to try and create change. Wonderful to meet and speak with Sto…,Pre-Update
Sun Mar 04 17:41:04 +0000 2018,False,"The DEA held two of its National Prescription Drug Take Back Days last year, giving people the opportunity to dispo… https://t.co/ErwuxBfhjc",Pre-Update
Fri Mar 02 21:21:00 +0000 2018,False,The @DeptVetAffairs has reduced the number of opioids used by 41% through a reduction in the start of new opioids a… https://t.co/DO2WFJkpTH,Pre-Update
Wed Feb 28 15:12:42 +0000 2018,True,RT @Scavino45: Acting @ICEgov director to Oakland mayor @LibbySchaaf: ‘We're not going away' https://t.co/3KL0W16SE2,Pre-Update
Wed Mar 07 16:58:18 +0000 2018,False,Watch LIVE as President Trump delivers remarks at the Latino Coalition Legislative Summit: https://t.co/hzhkhs0xYV https://t.co/qsylR1sx4r,Pre-Update
Fri Mar 09 19:08:00 +0000 2018,False,"""Our factories were left to rot and to rust all over the place. Thriving communities turned into ghost towns... Not… https://t.co/T4gJvehnd0",Pre-Update
Thu Mar 01 18:23:04 +0000 2018,False,President Trump’s Administration has taken action to provide more treatment and recovery options for those struggli… https://t.co/WrHPR3Rm3G,Pre-Update
Thu Mar 01 14:15:41 +0000 2018,True,"RT @FLOTUS: March starts #WomensHistoryMonth, a time to celebrate the ways American women have historically changed &amp; continue to shape our…",Pre-Update
Thu Mar 08 15:23:14 +0000 2018,True,"RT @FLOTUS: Happy #IWD2018.  Today we recognize, celebrate &amp; honor women around the globe.  On March 21, I will be at the @StateDept to pre…",Pre-Update
Tue Mar 06 16:28:03 +0000 2018,False,"Today, President Trump will welcome Prime Minister Stefan Löfven of Sweden to the White House.

Watch the joint pre… https://t.co/IQY2BFL6Bl",Pre-Update
Sat Mar 03 14:16:38 +0000 2018,True,RT @realDonaldTrump: Happy National Anthem Day! https://t.co/cf1eugMbKU,Pre-Update
Tue Mar 06 18:04:02 +0000 2018,False,President Trump hosted Israeli Prime Minister Netanyahu for a bilateral visit yesterday. The leaders discussed the… https://t.co/5mkKzBkxMx,Pre-Update
Fri Mar 09 16:49:03 +0000 2018,False,"""The President will not stand idle while unfair practices erode America’s steel and aluminum industries and threate… https://t.co/uxXUcSQVho",Pre-Update
Mon Mar 05 22:01:21 +0000 2018,False,Oklahoma Gov. Fallin and Transportation Sec. Patterson: “Trump’s infrastructure plan brings needed attention for im… https://t.co/JwcZtgRlOP,Pre-Update
Fri Mar 09 20:28:00 +0000 2018,False,"""America has also finally turned the page on decades of unfair trade deals that sacrificed our prosperity and shipp… https://t.co/5Cd9CpLtcu",Pre-Update
Fri Mar 09 00:54:58 +0000 2018,True,RT @PressSec: .@POTUS greatly appreciates the nice words of the S. Korean delegation &amp; Pres Moon. He will accept the invitation to meet w/…,Pre-Update
Wed Mar 07 18:28:03 +0000 2018,False,".@WHOSTP has built a robust team to advise the President on science &amp; technology, support the President’s agenda, a… https://t.co/f70RMiscYh",Pre-Update
Thu Mar 01 17:43:59 +0000 2018,True,RT @VP: Thanked the incredible men and women who work at @DHSgov for stepping up to protect our homeland &amp; our people. America is SAFER and…,Pre-Update
Tue Mar 06 00:48:04 +0000 2018,False,Tonight's edition of West Wing Reads: https://t.co/qLQ52VjnBo https://t.co/0YD4dKAPFn,Pre-Update
Mon Mar 05 22:49:00 +0000 2018,False,.@PressSec: “The bond between the United States and Israel is the strongest it has ever been.” https://t.co/wR39Y5ndWd,Pre-Update
